Quantity,Description,VALUE,Footprint,Designator,DNP,FUNCTION,MFT,MPN,RATING,Manufacturer,Manufacturer Part Number,LOAD,Resistance (Ohms),ALT MFT,ALT MFT1,ALT MFT2,ALT MPN,ALT MPN1,ALT MPN2,ALT_MPN1,TYPE
"1","IC ENERGY MEASURMENT 1PH 24TQFN","","QFN-24 (4X4mm)","U6","","Energy Meter","","","","Maxim Integrated","78M6610+PSU/B00","","","","","","","","","",""
"1","ACCELEROMETER 2-8G I2C/SPI 12LGA","KX122-1037","KX122-1037","U7","","I2C Devices","Kionix Inc.","KX122-1037","","","","","","","","","","","","","SMD"
"1","A-GPS receiver, with built-in Antenna","SIM33ELA","SIM33ELA","U12","","gps","SIMCom","SIM33ELA","","","","","","","Quectel","","","","","L96",""
"1","Isolated DC/DC Converters 1W 3.3Vin 3.3Vout 333mA SM","NXJ1S0303MC-R7","NXJ1S0303MC-R7","U13","","Energy Meter","Murata Power Solutions","NXJ1S0303MC-R7","","","","","","","Murata Power Solutions Inc.","Mornsun","","NXE1S0303MC-R7","F0303XT-1WR2","","SMD/SMT"
"1","IC AUTHENTICATION CHIP 8TSSOP","ATSHA204A-XHDA-T","TSSOP-8 (wide Body)","U14","","I2C Devices","Microchip Technology","ATSHA204A-XHDA-T","","","","","","","","","","","","","SMD"
"1","IC SENSOR AMBIENT LIGHT 6CHIPLED","APDS-9300-020","APDS-9300-020","U15","","I2C Devices","Broadcom Limited","APDS-9300-020","","","","","","","","","","","","","SMD"
"1","IC EEPROM 32KBIT 400KHZ 8TSSOP","M24C32-DFDW6TP","8-TSSOP","U16","","I2C Devices","STMicroelectronics","M24C32-DFDW6TP","","","","","","","","","","","","","SMD"
"1","IC REG BUCK 3.3V 0.5A SYNC 8WSON","TPS62172DSGT","WSON8","U402","","Power Supply","TEXAS INSTRUMENTS","TPS62172DSGT","","","","","","","","","","","","","SMD"
"1","AC/DC Power Modules 85-305Vac 12Vout 250mA 3W PCM mnt","IRM-03-12","IRM-03-12","U403","","Power Supply","Mean Well","IRM-03-12","","","","","","","","","","","","",""
"1","VARISTOR 470V 10KA DISC 20MM","S20K300E2","S20K300E2","V101","","Top","EPCOS (TDK)","S20K300E2","470V 10KA","","","","","","Fenghua","","","SVR20D471KA99BH","","","SMD"
"1","VARISTOR 470V 6KA DISC 14MM","S14K300E2K1","S14K300E2K1","V901","","Relay","EPCOS (TDK)","S14K300E2K1","470V","","","","","","Fenghua Hi Tech","","","SVR14D471KA78BH","","","TH"
"1","CRYSTAL 20.000 MHZ 18PF SMT","","ABLS7M (crystal)","X2","DNP","Energy Meter","","","","Abracon LLC","ABLS7M-20.000MHZ-B-2-T","","","","","","","","","","MHz Crystal"
"1","CRYSTAL 32.0000MHZ 9PF SMD","32MHz","OSCCC320X250X80L75X100N","Y2","","JN5169 MOD","Abracon","ABM8-32.000MHZ-9-D1G-T","","","","","","","","","","","","","SMD"
